#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
              3713.5          2.8973e-13                       |         8.07304319e+14      1.33272216e-27                    
             3716.25          2.3888e-13                       |         8.06706920e+14      1.10044649e-27                    
                3719          2.2526e-13                       |         8.06110403e+14      1.03923971e-27                    
             3721.75          4.5516e-13                       |         8.05514769e+14      2.10299276e-27                    
              3724.5          5.5333e-13                       |         8.04920013e+14      2.56035078e-27                    
             3727.25          2.6553e-13                       |         8.04326136e+14      1.23046691e-27                    
                3730          3.1787e-13                       |         8.03733134e+14      1.47518505e-27                    
             3732.75          1.7041e-13                       |         8.03141006e+14      7.92012763e-28                    
              3735.5           1.942e-13                       |         8.02549750e+14      9.03911689e-28                    
             3738.25          2.9576e-13                       |         8.01959363e+14      1.37865442e-27                    
                3741          3.0417e-13                       |         8.01369845e+14      1.41994358e-27                    
             3743.75          2.4541e-13                       |         8.00781193e+14      1.14732176e-27                    
              3746.5          2.0022e-13                       |         8.00193405e+14      9.37428659e-28                    
             3749.25         -1.2833e-14                       |         7.99606479e+14     -6.01722554e-29                    
                3752          1.9634e-13                       |         7.99020413e+14      9.21963529e-28                    
             3754.75          2.8233e-13                       |         7.98435206e+14      1.32769517e-27                    
              3757.5          3.3915e-13                       |         7.97850856e+14      1.59723602e-27                    
             3760.25          5.3423e-13                       |         7.97267360e+14      2.51965458e-27                    
                3763          4.1782e-13                       |         7.96684717e+14      1.97349921e-27                    
             3765.75          2.9725e-13                       |         7.96102925e+14      1.40606089e-27                    
              3768.5          3.4616e-13                       |         7.95521982e+14      1.63980882e-27                    
             3771.25          2.8072e-13                       |         7.94941887e+14      1.33175181e-27                    
                3774          3.4195e-13                       |         7.94362636e+14      1.62459718e-27                    
             3776.75          2.2051e-13                       |         7.93784230e+14      1.04916564e-27                    
              3779.5          1.9428e-13                       |         7.93206665e+14      9.25712418e-28                    
             3782.25          3.0572e-13                       |         7.92629940e+14      1.45882639e-27                    
                3785          4.7356e-13                       |         7.92054053e+14      2.26300793e-27                    
             3787.75          5.1647e-13                       |         7.91479002e+14      2.47165021e-27                    
              3790.5          3.5851e-13                       |         7.90904786e+14      1.71819943e-27                    
             3793.25          2.4446e-13                       |         7.90331402e+14      1.17330261e-27                    
                3796          3.6956e-13                       |         7.89758849e+14      1.77630141e-27                    
             3798.75          3.6581e-13                       |         7.89187125e+14      1.76082540e-27                    
              3801.5          3.6455e-13                       |         7.88616228e+14      1.75730194e-27                    
             3804.25          3.6603e-13                       |         7.88046156e+14      1.76698994e-27                    
                3807          4.6873e-13                       |         7.87476908e+14      2.26604119e-27                    
             3809.75          5.1268e-13                       |         7.86908482e+14      2.48209630e-27                    
              3812.5          5.2738e-13                       |         7.86340876e+14      2.55695248e-27                    
             3815.25          3.6374e-13                       |         7.85774088e+14      1.76610435e-27                    
                3818          4.6117e-13                       |         7.85208117e+14      2.24239539e-27                    
             3820.75          4.8799e-13                       |         7.84642960e+14      2.37622446e-27                    
              3823.5          4.7899e-13                       |         7.84078616e+14      2.33575846e-27                    
             3826.25          2.2387e-13                       |         7.83515084e+14      1.09325603e-27                    
                3829          1.5263e-13                       |         7.82952361e+14      7.46431455e-28                    
             3831.75          2.1611e-13                       |         7.82390446e+14      1.05839673e-27                    
              3834.5          2.3338e-13                       |         7.81829336e+14      1.14461759e-27                    
             3837.25          1.5829e-13                       |         7.81269031e+14      7.77450889e-28                    
                3840          1.5072e-13                       |         7.80709529e+14      7.41331800e-28                    
             3842.75          2.9181e-13                       |         7.80150827e+14      1.43735396e-27                    
              3845.5          3.6515e-13                       |         7.79592924e+14      1.80117633e-27                    
             3848.25          1.2367e-13                       |         7.79035819e+14      6.10900123e-28                    
                3851          2.9447e-13                       |         7.78479509e+14      1.45669084e-27                    
             3853.75           3.777e-13                       |         7.77923994e+14      1.87108431e-27                    
              3856.5           3.937e-13                       |         7.77369270e+14      1.95313104e-27                    
             3859.25          3.9179e-13                       |         7.76815337e+14      1.94642856e-27                    
                3862          3.1975e-13                       |         7.76262193e+14      1.59079562e-27                    
             3864.75          1.4084e-13                       |         7.75709836e+14      7.01694583e-28                    
              3867.5          4.4153e-13                       |         7.75158265e+14      2.20292726e-27                    
             3870.25          4.0346e-13                       |         7.74607478e+14      2.01584817e-27                    
                3873          4.0435e-13                       |         7.74057472e+14      2.02316702e-27                    
             3875.75          2.8501e-13                       |         7.73508247e+14      1.42807463e-27                    
              3878.5          2.5247e-13                       |         7.72959801e+14      1.26682512e-27                    
             3881.25          2.0786e-13                       |         7.72412133e+14      1.04446395e-27                    
                3884          3.2923e-13                       |         7.71865239e+14      1.65667432e-27                    
             3886.75          1.8506e-13                       |         7.71319120e+14      9.32534844e-28                    
              3889.5          3.2732e-13                       |         7.70773773e+14      1.65173127e-27                    
             3892.25          3.1058e-13                       |         7.70229196e+14      1.56947440e-27                    
                3895          1.8811e-13                       |         7.69685389e+14      9.51932388e-28                    
             3897.75          1.2955e-13                       |         7.69142349e+14      6.56515030e-28                    
              3900.5          4.0496e-13                       |         7.68600074e+14      2.05509540e-27                    
             3903.25          3.0471e-13                       |         7.68058564e+14      1.54852685e-27                    
                3906          4.7514e-13                       |         7.67517816e+14      2.41805050e-27                    
             3908.75          3.6547e-13                       |         7.66977829e+14      1.86254518e-27                    
              3911.5           2.294e-13                       |         7.66438602e+14      1.17073709e-27                    
             3914.25          3.5062e-13                       |         7.65900132e+14      1.79189724e-27                    
                3917          3.3165e-13                       |         7.65362418e+14      1.69733060e-27                    
             3919.75           2.477e-13                       |         7.64825458e+14      1.26946882e-27                    
              3922.5          3.5308e-13                       |         7.64289252e+14      1.81208397e-27                    
             3925.25           5.054e-13                       |         7.63753797e+14      2.59746185e-27                    
                3928          4.9428e-13                       |         7.63219091e+14      2.54387222e-27                    
             3930.75          2.0738e-13                       |         7.62685134e+14      1.06880139e-27                    
              3933.5          3.4695e-13                       |         7.62151923e+14      1.79062439e-27                    
             3936.25          3.5316e-13                       |         7.61619458e+14      1.82522392e-27                    
                3939          2.5017e-13                       |         7.61087735e+14      1.29475169e-27                    
             3941.75          2.9346e-13                       |         7.60556755e+14      1.52091997e-27                    
              3944.5          4.3022e-13                       |         7.60026515e+14      2.23282051e-27                    
             3947.25          2.6302e-13                       |         7.59497014e+14      1.36696481e-27                    
                3950           2.845e-13                       |         7.58968251e+14      1.48066141e-27                    
             3952.75          2.2254e-13                       |         7.58440223e+14      1.15980793e-27                    
              3955.5          3.8672e-13                       |         7.57912929e+14      2.01826740e-27                    
             3958.25          3.5941e-13                       |         7.57386368e+14      1.87834729e-27                    
                3961          4.3662e-13                       |         7.56860538e+14      2.28503368e-27                    
             3963.75          3.1686e-13                       |         7.56335437e+14      1.66057778e-27                    
              3966.5          3.4168e-13                       |         7.55811065e+14      1.79313824e-27                    
             3969.25          4.2838e-13                       |         7.55287420e+14      2.25125862e-27                    
                3972          2.6018e-13                       |         7.54764499e+14      1.36921511e-27                    
             3974.75          2.5409e-13                       |         7.54242302e+14      1.33901828e-27                    
              3977.5          1.8749e-13                       |         7.53720827e+14      9.89413385e-28                    
             3980.25          3.0555e-13                       |         7.53200073e+14      1.61466446e-27                    
                3983          3.4286e-13                       |         7.52680038e+14      1.81433187e-27                    
             3985.75          2.9245e-13                       |         7.52160720e+14      1.54971212e-27                    
              3988.5          3.1853e-13                       |         7.51642119e+14      1.69024177e-27                    
             3991.25          4.4186e-13                       |         7.51124232e+14      2.34791217e-27                    
                3994          4.4517e-13                       |         7.50607058e+14      2.36876134e-27                    
             3996.75          4.3198e-13                       |         7.50090596e+14      2.30174338e-27                    
              3999.5          4.6804e-13                       |         7.49574844e+14      2.49731697e-27                    
             4002.25          5.1191e-13                       |         7.49059801e+14      2.73515118e-27                    
                4005           4.764e-13                       |         7.48545466e+14      2.54891932e-27                    
             4007.75          5.4849e-13                       |         7.48031836e+14      2.93865942e-27                    
              4010.5          4.5785e-13                       |         7.47518910e+14      2.45640264e-27                    
             4013.25          3.7325e-13                       |         7.47006688e+14      2.00526392e-27                    
                4016          3.0526e-13                       |         7.46495167e+14      1.64223992e-27                    
             4018.75          1.8084e-13                       |         7.45984346e+14      9.74217159e-28                    
              4021.5          2.2651e-13                       |         7.45474224e+14      1.22192014e-27                    
             4024.25           3.443e-13                       |         7.44964798e+14      1.85988557e-27                    
                4027          3.2626e-13                       |         7.44456069e+14      1.76484426e-27                    
             4029.75          2.7679e-13                       |         7.43948034e+14      1.49929088e-27                    
              4032.5          3.3877e-13                       |         7.43440692e+14      1.83752388e-27                    
             4035.25          4.6317e-13                       |         7.42934041e+14      2.51571020e-27                    
                4038          4.9836e-13                       |         7.42428081e+14      2.71053551e-27                    
             4040.75          3.8736e-13                       |         7.41922809e+14      2.10968702e-27                    
              4043.5          3.2559e-13                       |         7.41418224e+14      1.77568223e-27                    
             4046.25          3.8004e-13                       |         7.40914326e+14      2.07545839e-27                    
                4049          4.2188e-13                       |         7.40411111e+14      2.30708601e-27                    
             4051.75          4.5801e-13                       |         7.39908580e+14      2.50806933e-27                    
              4054.5          3.5556e-13                       |         7.39406731e+14      1.94969556e-27                    
             4057.25          3.3085e-13                       |         7.38905562e+14      1.81666133e-27                    
                4060          4.1771e-13                       |         7.38405071e+14      2.29671039e-27                    
             4062.75          5.4656e-13                       |         7.37905259e+14      3.00924355e-27                    
              4065.5          4.6047e-13                       |         7.37406122e+14      2.53868354e-27                    
             4068.25          3.5612e-13                       |         7.36907661e+14      1.96603356e-27                    
                4071          3.4477e-13                       |         7.36409872e+14      1.90594766e-27                    
             4073.75          3.1768e-13                       |         7.35912756e+14      1.75856294e-27                    
              4076.5          3.7736e-13                       |         7.35416311e+14      2.09175132e-27                    
             4079.25          4.6197e-13                       |         7.34920534e+14      2.56421073e-27                    
                4082          3.8671e-13                       |         7.34425426e+14      2.14936761e-27                    
             4084.75           3.752e-13                       |         7.33930985e+14      2.08820479e-27                    
              4087.5          3.1737e-13                       |         7.33437209e+14      1.76872657e-27                    
             4090.25          3.1101e-13                       |         7.32944096e+14      1.73561484e-27                    
                4093          4.4686e-13                       |         7.32451647e+14      2.49709041e-27                    
             4095.75          5.0031e-13                       |         7.31959858e+14      2.79953150e-27                    
              4098.5          4.6707e-13                       |         7.31468730e+14      2.61704474e-27                    
             4101.25           4.528e-13                       |         7.30978260e+14      2.54049416e-27                    
                4104           3.495e-13                       |         7.30488448e+14      1.96354645e-27                    
             4106.75          3.6782e-13                       |         7.29999291e+14      2.06924144e-27                    
              4109.5          3.7261e-13                       |         7.29510790e+14      2.09899678e-27                    
             4112.25          3.8045e-13                       |         7.29022941e+14      2.14603056e-27                    
                4115          3.0266e-13                       |         7.28535745e+14      1.70951928e-27                    
             4117.75           3.717e-13                       |         7.28049199e+14      2.10228605e-27                    
              4120.5          4.6921e-13                       |         7.27563303e+14      2.65733552e-27                    
             4123.25          4.1395e-13                       |         7.27078055e+14      2.34750496e-27                    
                4126           4.247e-13                       |         7.26593454e+14      2.41168179e-27                    
             4128.75          5.2093e-13                       |         7.26109498e+14      2.96207355e-27                    
              4131.5          4.4311e-13                       |         7.25626187e+14      2.52293674e-27                    
             4134.25          4.0997e-13                       |         7.25143518e+14      2.33735589e-27                    
                4137          5.4999e-13                       |         7.24661491e+14      3.13982274e-27                    
             4139.75          5.3442e-13                       |         7.24180105e+14      3.05499306e-27                    
              4142.5          4.5458e-13                       |         7.23699358e+14      2.60204411e-27                    
             4145.25          3.8013e-13                       |         7.23219249e+14      2.17877758e-27                    
                4148          3.7154e-13                       |         7.22739776e+14      2.13236904e-27                    
             4150.75          4.3541e-13                       |         7.22260938e+14      2.50225086e-27                    
              4153.5          4.2475e-13                       |         7.21782735e+14      2.44422461e-27                    
             4156.25          3.6075e-13                       |         7.21305165e+14      2.07868633e-27                    
                4159          4.1863e-13                       |         7.20828226e+14      2.41539122e-27                    
             4161.75           4.401e-13                       |         7.20351917e+14      2.54262692e-27                    
              4164.5          4.0374e-13                       |         7.19876237e+14      2.33564486e-27                    
             4167.25          3.1777e-13                       |         7.19401185e+14      1.84073513e-27                    
                4170          3.8752e-13                       |         7.18926760e+14      2.24773717e-27                    
             4172.75          5.4297e-13                       |         7.18452960e+14      3.15355102e-27                    
              4175.5          4.2557e-13                       |         7.17979784e+14      2.47495483e-27                    
             4178.25          3.4326e-13                       |         7.17507231e+14      1.99890124e-27                    
                4181          4.2362e-13                       |         7.17035300e+14      2.47010882e-27                    
             4183.75          4.5277e-13                       |         7.16563989e+14      2.64355524e-27                    
              4186.5           4.458e-13                       |         7.16093298e+14      2.60628288e-27                    
             4189.25          4.4656e-13                       |         7.15623224e+14      2.61415703e-27                    
                4192          4.2034e-13                       |         7.15153767e+14      2.46389708e-27                    
             4194.75          3.1022e-13                       |         7.14684925e+14      1.82079585e-27                    
              4197.5          4.1256e-13                       |         7.14216698e+14      2.42464312e-27                    
             4200.25          5.4118e-13                       |         7.13749084e+14      3.18472044e-27                    
                4203          4.7644e-13                       |         7.13282082e+14      2.80741290e-27                    
             4205.75          5.2967e-13                       |         7.12815690e+14      3.12515512e-27                    
              4208.5          4.6474e-13                       |         7.12349909e+14      2.74564265e-27                    
             4211.25          5.0567e-13                       |         7.11884735e+14      2.99135897e-27                    
                4214          5.6709e-13                       |         7.11420168e+14      3.35908000e-27                    
             4216.75          4.9964e-13                       |         7.10956208e+14      2.96341314e-27                    
              4219.5          4.5252e-13                       |         7.10492852e+14      2.68744173e-27                    
             4222.25          5.2429e-13                       |         7.10030100e+14      3.11773184e-27                    
                4225           4.097e-13                       |         7.09567950e+14      2.43948800e-27                    
             4227.75          4.2419e-13                       |         7.09106402e+14      2.52905526e-27                    
              4230.5          4.4583e-13                       |         7.08645453e+14      2.66153378e-27                    
             4233.25          3.8798e-13                       |         7.08185104e+14      2.31919074e-27                    
                4236          4.9296e-13                       |         7.07725352e+14      2.95054933e-27                    
             4238.75          4.0806e-13                       |         7.07266196e+14      2.44556340e-27                    
              4241.5          4.3201e-13                       |         7.06807636e+14      2.59245984e-27                    
             4244.25          4.3774e-13                       |         7.06349671e+14      2.63025251e-27                    
                4247           4.749e-13                       |         7.05892298e+14      2.85723517e-27                    
             4249.75          4.1298e-13                       |         7.05435517e+14      2.48791238e-27                    
              4252.5          5.1201e-13                       |         7.04979327e+14      3.08849131e-27                    
             4255.25          4.1513e-13                       |         7.04523727e+14      2.50734200e-27                    
                4258          5.2731e-13                       |         7.04068715e+14      3.18901541e-27                    
             4260.75          4.9502e-13                       |         7.03614291e+14      2.99760322e-27                    
              4263.5          4.0635e-13                       |         7.03160453e+14      2.46383769e-27                    
             4266.25          3.6918e-13                       |         7.02707200e+14      2.24135198e-27                    
                4269          4.1563e-13                       |         7.02254530e+14      2.52661164e-27                    
             4271.75          5.2001e-13                       |         7.01802444e+14      3.16521086e-27                    
              4274.5          4.7744e-13                       |         7.01350939e+14      2.90983752e-27                    
             4277.25          4.4952e-13                       |         7.00900015e+14      2.74320071e-27                    
                4280          4.7987e-13                       |         7.00449671e+14      2.93217869e-27                    
             4282.75          4.2563e-13                       |         6.99999904e+14      2.60409590e-27                    
              4285.5          3.4898e-13                       |         6.99550715e+14      2.13787758e-27                    
             4288.25          5.1567e-13                       |         6.99102102e+14      3.16308858e-27                    
                4291          4.0805e-13                       |         6.98654064e+14      2.50616527e-27                    
             4293.75          3.0779e-13                       |         6.98206600e+14      1.89281126e-27                    
              4296.5          3.7887e-13                       |         6.97759709e+14      2.33291624e-27                    
             4299.25          3.5702e-13                       |         6.97313390e+14      2.20118853e-27                    
                4302           4.169e-13                       |         6.96867641e+14      2.57366492e-27                    
             4304.75          3.8148e-13                       |         6.96422461e+14      2.35801704e-27                    
              4307.5          3.9401e-13                       |         6.95977850e+14      2.43858059e-27                    
             4310.25          4.2382e-13                       |         6.95533807e+14      2.62642899e-27                    
                4313          4.1283e-13                       |         6.95090329e+14      2.56158907e-27                    
             4315.75          4.1984e-13                       |         6.94647417e+14      2.60840886e-27                    
              4318.5          3.5925e-13                       |         6.94205069e+14      2.23481676e-27                    
             4321.25          5.3869e-13                       |         6.93763284e+14      3.35534355e-27                    
                4324          5.1867e-13                       |         6.93322061e+14      3.23475800e-27                    
             4326.75          4.5587e-13                       |         6.92881398e+14      2.84671450e-27                    
              4329.5          4.4068e-13                       |         6.92441296e+14      2.75535857e-27                    
             4332.25          3.1497e-13                       |         6.92001752e+14      1.97185741e-27                    
                4335          4.1266e-13                       |         6.91562766e+14      2.58672269e-27                    
             4337.75          5.0598e-13                       |         6.91124336e+14      3.17571619e-27                    
              4340.5          5.1128e-13                       |         6.90686462e+14      3.21305102e-27                    
             4343.25          4.4518e-13                       |         6.90249143e+14      2.80120309e-27                    
                4346          3.3941e-13                       |         6.89812377e+14      2.13837256e-27                    
             4348.75          4.5039e-13                       |         6.89376163e+14      2.84116803e-27                    
              4351.5          4.4996e-13                       |         6.88940501e+14      2.84204650e-27                    
             4354.25          4.9811e-13                       |         6.88505389e+14      3.15015031e-27                    
                4357          3.8029e-13                       |         6.88070826e+14      2.40807119e-27                    
             4359.75          4.6213e-13                       |         6.87636812e+14      2.92999332e-27                    
              4362.5          4.8818e-13                       |         6.87203344e+14      3.09906124e-27                    
             4365.25          5.2466e-13                       |         6.86770423e+14      3.33484377e-27                    
                4368          5.6996e-13                       |         6.86338047e+14      3.62734558e-27                    
             4370.75          4.6577e-13                       |         6.85906215e+14      2.96799210e-27                    
              4373.5          5.7081e-13                       |         6.85474926e+14      3.64190934e-27                    
             4376.25          4.7587e-13                       |         6.85044179e+14      3.03998800e-27                    
                4379          4.9729e-13                       |         6.84613974e+14      3.18081867e-27                    
             4381.75          5.5074e-13                       |         6.84184308e+14      3.52712707e-27                    
              4384.5          4.3388e-13                       |         6.83755181e+14      2.78220467e-27                    
             4387.25            3.63e-13                       |         6.83326592e+14      2.33061580e-27                    
                4390          4.5645e-13                       |         6.82898540e+14      2.93427996e-27                    
             4392.75          3.9418e-13                       |         6.82471024e+14      2.53715416e-27                    
              4395.5          4.9642e-13                       |         6.82044043e+14      3.19922758e-27                    
             4398.25          4.4422e-13                       |         6.81617596e+14      2.86640284e-27                    
                4401          4.5677e-13                       |         6.81191681e+14      2.95107064e-27                    
             4403.75          4.7607e-13                       |         6.80766299e+14      3.07960788e-27                    
              4406.5          4.9507e-13                       |         6.80341448e+14      3.20651632e-27                    
             4409.25          4.6547e-13                       |         6.79917126e+14      3.01856435e-27                    
                4412          4.4521e-13                       |         6.79493334e+14      2.89078115e-27                    
             4414.75          5.0989e-13                       |         6.79070070e+14      3.31488160e-27                    
              4417.5          4.5009e-13                       |         6.78647332e+14      2.92975818e-27                    
             4420.25          4.7974e-13                       |         6.78225121e+14      3.12664729e-27                    
                4423          5.5809e-13                       |         6.77803434e+14      3.64181110e-27                    
             4425.75          4.7596e-13                       |         6.77382272e+14      3.10973590e-27                    
              4428.5           4.619e-13                       |         6.76961633e+14      3.02162494e-27                    
             4431.25           5.462e-13                       |         6.76541515e+14      3.57753175e-27                    
                4434          4.4274e-13                       |         6.76121919e+14      2.90348398e-27                    
             4436.75          4.8144e-13                       |         6.75702843e+14      3.16119570e-27                    
              4439.5          4.7801e-13                       |         6.75284287e+14      3.14256593e-27                    
             4442.25          5.2596e-13                       |         6.74866248e+14      3.46208722e-27                    
                4445          4.4287e-13                       |         6.74448727e+14      2.91876472e-27                    
             4447.75          4.8418e-13                       |         6.74031722e+14      3.19497069e-27                    
              4450.5          5.6821e-13                       |         6.73615232e+14      3.75409950e-27                    
             4453.25           5.023e-13                       |         6.73199257e+14      3.32274205e-27                    
                4456          5.0467e-13                       |         6.72783795e+14      3.34254412e-27                    
             4458.75          4.3638e-13                       |         6.72368846e+14      2.89381243e-27                    
              4461.5           4.416e-13                       |         6.71954408e+14      2.93204178e-27                    
             4464.25          5.1219e-13                       |         6.71540480e+14      3.40492386e-27                    
                4467          4.3765e-13                       |         6.71127063e+14      2.91298423e-27                    
             4469.75          4.7936e-13                       |         6.70714154e+14      3.19453428e-27                    
              4472.5          4.6219e-13                       |         6.70301753e+14      3.08390179e-27                    
             4475.25          4.9297e-13                       |         6.69889859e+14      3.29332347e-27                    
                4478          5.7943e-13                       |         6.69478470e+14      3.87568481e-27                    
             4480.75          5.0288e-13                       |         6.69067587e+14      3.36779064e-27                    
              4483.5          4.8732e-13                       |         6.68657208e+14      3.26759242e-27                    
             4486.25          4.8338e-13                       |         6.68247331e+14      3.24515104e-27                    
                4489          5.5797e-13                       |         6.67837957e+14      3.75050160e-27                    
             4491.75            5.12e-13                       |         6.67429084e+14      3.44572338e-27                    
              4494.5          4.5887e-13                       |         6.67020712e+14      3.09194479e-27                    
             4497.25          5.0412e-13                       |         6.66612839e+14      3.40100511e-27                    
                4500          5.0258e-13                       |         6.66205464e+14      3.39476351e-27                    
             4502.75          4.3857e-13                       |         6.65798588e+14      2.96601871e-27                    
              4505.5           4.958e-13                       |         6.65392207e+14      3.35715819e-27                    
             4508.25          5.1555e-13                       |         6.64986323e+14      3.49515202e-27                    
                4511          5.5261e-13                       |         6.64580933e+14      3.75097085e-27                    
             4513.75            5.35e-13                       |         6.64176038e+14      3.63586777e-27                    
              4516.5          4.9508e-13                       |         6.63771635e+14      3.36867185e-27                    
             4519.25          5.0474e-13                       |         6.63367725e+14      3.43858491e-27                    
                4522          4.7397e-13                       |         6.62964306e+14      3.23289251e-27                    
             4524.75           5.507e-13                       |         6.62561377e+14      3.76082867e-27                    
              4527.5          4.6046e-13                       |         6.62158938e+14      3.14838709e-27                    
             4530.25          4.7616e-13                       |         6.61756987e+14      3.25969182e-27                    
                4533           3.812e-13                       |         6.61355524e+14      2.61278471e-27                    
             4535.75          4.4801e-13                       |         6.60954548e+14      3.07443434e-27                    
              4538.5          5.3236e-13                       |         6.60554058e+14      3.65771103e-27                    
             4541.25          4.4873e-13                       |         6.60154052e+14      3.08684784e-27                    
                4544          4.6623e-13                       |         6.59754531e+14      3.21111720e-27                    
             4546.75          4.7475e-13                       |         6.59355493e+14      3.27375685e-27                    
              4549.5          5.1618e-13                       |         6.58956938e+14      3.56375474e-27                    
             4552.25          5.1497e-13                       |         6.58558864e+14      3.55970029e-27                    
                4555          4.8877e-13                       |         6.58161271e+14      3.38267754e-27                    
             4557.75          4.5509e-13                       |         6.57764158e+14      3.15338929e-27                    
              4560.5          5.0817e-13                       |         6.57367523e+14      3.52543928e-27                    
             4563.25          5.9054e-13                       |         6.56971367e+14      4.10182512e-27                    
                4566          4.9758e-13                       |         6.56575688e+14      3.46030217e-27                    
             4568.75          4.7376e-13                       |         6.56180485e+14      3.29862142e-27                    
              4571.5          4.9529e-13                       |         6.55785757e+14      3.45267980e-27                    
             4574.25          5.9772e-13                       |         6.55391505e+14      4.17173657e-27                    
                4577          4.8631e-13                       |         6.54997726e+14      3.39824214e-27                    
             4579.75          5.3175e-13                       |         6.54604419e+14      3.72023468e-27                    
              4582.5          4.6611e-13                       |         6.54211585e+14      3.26492090e-27                    
             4585.25          5.0567e-13                       |         6.53819223e+14      3.54627592e-27                    
                4588          5.0603e-13                       |         6.53427330e+14      3.55305867e-27                    
             4590.75          5.7535e-13                       |         6.53035907e+14      4.04462907e-27                    
              4593.5          5.2902e-13                       |         6.52644953e+14      3.72339257e-27                    
             4596.25          4.7935e-13                       |         6.52254466e+14      3.37784186e-27                    
                4599          4.3511e-13                       |         6.51864447e+14      3.06976535e-27                    
             4601.75            5.02e-13                       |         6.51474893e+14      3.54592099e-27                    
              4604.5          4.6748e-13                       |         6.51085805e+14      3.30603377e-27                    
             4607.25          4.8979e-13                       |         6.50697182e+14      3.46794952e-27                    
                4610          5.0721e-13                       |         6.50309022e+14      3.59557998e-27                    
             4612.75          4.9993e-13                       |         6.49921325e+14      3.54820194e-27                    
              4615.5          6.0392e-13                       |         6.49534089e+14      4.29137255e-27                    
             4618.25          5.4114e-13                       |         6.49147316e+14      3.84985002e-27                    
                4621          5.8888e-13                       |         6.48761002e+14      4.19447913e-27                    
             4623.75          5.0623e-13                       |         6.48375148e+14      3.61007199e-27                    
              4626.5          5.3263e-13                       |         6.47989753e+14      3.80285751e-27                    
             4629.25          5.8847e-13                       |         6.47604815e+14      4.20653875e-27                    
                4632          5.5841e-13                       |         6.47220335e+14      3.99640583e-27                    
             4634.75          5.6814e-13                       |         6.46836310e+14      4.07087052e-27                    
              4637.5          5.9657e-13                       |         6.46452742e+14      4.27965294e-27                    
             4640.25          4.9522e-13                       |         6.46069628e+14      3.55680643e-27                    
                4643          5.5785e-13                       |         6.45686967e+14      4.01138273e-27                    
             4645.75          6.0896e-13                       |         6.45304760e+14      4.38409275e-27                    
              4648.5          5.4845e-13                       |         6.44923005e+14      3.95313829e-27                    
             4651.25          5.4259e-13                       |         6.44541702e+14      3.91552902e-27                    
                4654          4.3713e-13                       |         6.44160849e+14      3.15822209e-27                    
             4656.75          5.0309e-13                       |         6.43780446e+14      3.63907350e-27                    
              4659.5          5.6696e-13                       |         6.43400491e+14      4.10591872e-27                    
             4662.25          5.0498e-13                       |         6.43020986e+14      3.66137818e-27                    
                4665           4.872e-13                       |         6.42641927e+14      3.53663199e-27                    
             4667.75          4.8871e-13                       |         6.42263315e+14      3.55177705e-27                    
              4670.5            4.91e-13                       |         6.41885149e+14      3.57262589e-27                    
             4673.25          4.6917e-13                       |         6.41507428e+14      3.41780719e-27                    
                4676          4.4193e-13                       |         6.41130152e+14      3.22315941e-27                    
             4678.75          4.4828e-13                       |         6.40753319e+14      3.27331906e-27                    
